group,names,scores,logfoldchanges,pvals,pvals_adj
0,PNOC,4.8179035,,1.4507432694581219e-06,1.4580334366413285e-05
0,SEPT6,4.7903767,,1.6646842944425221e-06,1.664684294442522e-05
0,TMEM156,4.734154,,2.1997060037800747e-06,2.1743139155934366e-05
0,DOCK10,4.6889744,,2.7457776654062753e-06,2.6919388876532112e-05
0,BCL2A1,4.6717854,,2.985932235026786e-06,2.913104619538328e-05
0,GMPPB,4.6697097,,3.0162591491598188e-06,2.928406940931863e-05
0,CYTH1,4.6163683,,3.9051330789674785e-06,3.754935652853345e-05
0,JSRP1,4.6126404,,3.9758570813320276e-06,3.78653055364955e-05
0,N4BP2L1,4.5720954,,4.8287049581020925e-06,4.533995265823561e-05
0,TRAF1,4.5609317,,5.092715100530021e-06,4.759546822925254e-05
0,MIR155HG,4.5027742,,6.707206568821794e-06,6.210376452612772e-05
0,LGALS1,4.452174,,8.50052479043465e-06,7.763036338296483e-05
0,TBXAS1,4.435791,,9.173490403723445e-06,8.339536730657678e-05
0,BANK1,4.433957,,9.251908289006272e-06,8.372767682358617e-05
0,SNURF,4.428476,,9.490136518424832e-06,8.54967253912147e-05
0,RPL21,4.4198713,,9.875978968301294e-06,8.857380240628963e-05
0,HLA-DPB1,4.3910546,,1.128022890563661e-05,0.00010026870138343653
0,IKZF1,4.3673964,,1.257363062937319e-05,0.00011078088660240695
0,MS4A1,4.3409176,,1.4188900362776626e-05,0.00012392052718582206
0,GPSM3,4.3081512,,1.6462488832706436e-05,0.00014315207680614292
0,CCDC167,4.277682,,1.888495018113367e-05,0.00016350606217431748
0,ATP2A3,4.2686744,,1.9663812454921558e-05,0.00016951562461139274
0,RAB8B,4.2441297,,2.1944333050841912e-05,0.00018676028128376097
0,DOCK8,4.2381043,,2.2541487143564294e-05,0.0001902235201988548
0,STAP1,4.2222652,,2.41859092007295e-05,0.00020324293445991178
0,NCKAP1L,4.1967735,,2.7074418302395328e-05,0.00022562015251996107
0,ALOX5,4.1675744,,3.0785832763862626e-05,0.0002554840893266608
0,SNRPN,4.1585865,,3.202228055542184e-05,0.00026464694673902344
0,BTG2,4.1253366,,3.701928934689018e-05,0.00030468550902790274
0,DNAAF1,4.1214876,,3.764335936769632e-05,0.00030729272953221483
0,TYROBP,4.0941825,,4.236607205715535e-05,0.0003444396102207752
0,PIK3R5,4.0580707,,4.9479750979486176e-05,0.0003974277187107323
0,CFP,4.0537586,,5.040125694333518e-05,0.00040321005554668144
0,MYO1G,4.0073695,,6.139871926865649e-05,0.0004853653697126995
0,RNASE6,3.9748452,,7.042506358555883e-05,0.000552353439886736
0,RASSF4,3.9666436,,7.289190183732929e-05,0.000569467983104135
0,MAP4K1,3.9629557,,7.402750551858526e-05,0.0005760895371096129
0,FCRL2,3.8873472,,0.00010134570752470911,0.0007825923360981398
0,P2RX1,3.8547018,,0.00011587075583206217,0.0008778087563035013
0,NAPSB,3.849281,,0.0001184650049275306,0.0008919607538663448
0,LAT2,3.7297223,,0.00019169101932300085,0.0014108460703677619
0,ITGA4,3.7294803,,0.00019187506557001563,0.0014108460703677619
0,EIF4A3,3.6909506,,0.0002234174719008355,0.0016367580359035567
0,DUSP2,3.6188889,,0.0002958706582729842,0.002136250240238153
0,DNAJA1,3.6086116,,0.0003078400935004162,0.0022132605436057866
0,JUNB,3.6030095,,0.00031455405996237343,0.002246814714016953
0,EBI3,3.6012764,,0.00031665864800748116,0.0022537982064589402
0,ABP1,3.5871906,,0.0003342600749709861,0.0023622620139292306
0,S1PR1,3.5841274,,0.00033820684582214737,0.002381738350860193
0,RNASET2,3.5467868,,0.0003899600919444452,0.0027269936499611552
0,CCR6,3.5431998,,0.00039530310100794106,0.0027547254425640496
0,LTB,3.5103326,,0.0004475463781878119,0.003107960959637583
0,BLK,3.4927404,,0.0004780910291433611,0.0033085884369782777
0,AREG,3.4875414,,0.00048748359445965536,0.0033619558238596925
0,CD97,3.423641,,0.0006178821588523118,0.004217625657694961
0,PREX1,3.3827534,,0.0007176302251216576,0.004816310235715823
0,TPST2,3.37965,,0.0007257815615164403,0.004854726163989568
0,CSRNP1,3.3408988,,0.0008350766258767373,0.005551501579967842
0,INPP5D,3.3407576,,0.0008355009877851602,0.005551501579967842
0,IER2,3.3279414,,0.0008749028190814874,0.005755939599220312
0,CORO1A,3.2609174,,0.0011105237330361673,0.007211193071663425
0,HAVCR2,3.2572901,,0.001124813893898595,0.007276466818291018
0,RPL21P28,3.2280302,,0.0012464582909525713,0.008015808945032612
0,BTK,3.2046947,,0.0013520580293726583,0.008652663626379993
0,SP140,3.2042513,,0.001354141857528469,0.008652663626379993
0,KCNA3,3.1913948,,0.0014158770152735585,0.008989695335070214
0,CD200,3.1182044,,0.0018195654391771224,0.011266659066112213
0,FAM107B,3.1091363,,0.001876351663469552,0.011582417675737975
0,FKBP5,3.0891056,,0.002007600311868082,0.01227890099001885
0,CD180,3.0556138,,0.0022460031991659735,0.01348950870369954
0,PTPN7,3.0458202,,0.002320465467774104,0.013771308414089637
0,PMAIP1,2.9875016,,0.002812676971598294,0.016448403342680083
0,GPR65,2.969446,,0.0029833725899946688,0.017395758542242967
0,IL4I1,2.9006085,,0.0037243896731399793,0.021404538351379194
0,ACAP1,2.8819885,,0.003951742471590799,0.022646088662411457
0,LPXN,2.864215,,0.004180444279414577,0.0237646166090179
0,VPREB3,2.8520434,,0.004343918538973551,0.02461143648143655
0,KRT19P2,2.8400733,,0.0045103170740233255,0.025482017367363424
0,DEF6,2.8370707,,0.00455295274969498,0.02565043802645059
0,P2RX5,2.8125865,,0.0049144784298909205,0.027532092044206837
0,FERMT3,2.8086772,,0.004974549269761624,0.02779077804336103
0,SASH3,2.8038812,,0.005049150998384889,0.02805083887991605
0,KBTBD8,2.775669,,0.005508825088381951,0.030423208434783452
0,LGALS2,2.7675278,,0.00564832196836989,0.03103473608994445
0,C15orf57,2.73988,,0.006146162464973179,0.033677602547798245
0,SEPT1,2.7190835,,0.006546305724978477,0.035772162431576375
0,BTLA,2.6941764,,0.007056281950190992,0.03834935842495105
0,CCL19,2.6860352,,0.007230548415948607,0.03918996431408459
0,ZNF331,2.6552033,,0.007926061781188182,0.042728095855461896
0,TNFRSF13B,2.6457725,,0.008150462984070609,0.04370221439179951
0,DNAJB1,2.6423063,,0.008234353554876932,0.04403397622928841
0,ITGAL,2.6280794,,0.008586847171063386,0.04579651824567139
0,PTPRC,2.626971,,0.008614866006302629,0.04582375535267356
0,NFKBID,2.6114948,,0.009014738475711619,0.04769702897201915
0,FLJ40292,2.6042602,,0.009207279721198147,0.048459366953674456
0,RND1,2.5950713,,0.009457132015424691,0.049513780185469584
0,ARHGAP4,2.5931368,,0.00951049670772814,0.04966316818656992
0,GPR114,2.5880988,,0.00965072962358153,0.050264216789487136
0,CRTAM,2.5448537,,0.010932354469687025,0.05620747799324949
0,ANKRD37,2.539977,,0.011085976186738197,0.05682234866478343
0,ARHGAP25,2.538526,,0.011132050486720401,0.05682234866478343
0,SNX20,2.538365,,0.011137180338297553,0.05682234866478343
0,SLAMF1,2.535181,,0.011238926067533052,0.05719555250652952
0,PARVG,2.5335689,,0.011290757000110285,0.05731348731020449
0,RASGEF1B,2.4747667,,0.013332323457875985,0.06743380533037432
0,HLA-DMB,2.4742427,,0.013351893455414118,0.06743380533037432
0,DUSP4,2.4605398,,0.013872820869410487,0.06988826634463721
0,TLR9,2.4557235,,0.014060128203248305,0.070476833098989
0,CD80,2.4135463,,0.015798115621996782,0.07859759015918796
0,CCL17,2.3869665,,0.01698803588806871,0.08409918756469659
0,PIP4K2A,2.373848,,0.017603798580471307,0.08650515272958874
0,CD1E,2.3319933,,0.019701046215680997,0.09517413630763767
0,ARHGAP15,2.267045,,0.023387481012198463,0.11136895720094507
0,SLC39A8,2.265191,,0.023500961595997794,0.1116435230213672
0,IL21R,2.246853,,0.024649415674175654,0.11599725023141484
0,XKR8,2.2424803,,0.024930350924035855,0.11704390105181153
0,NEDD9,2.2196083,,0.02644536995274565,0.12386590141801242
0,RAC2,2.2111447,,0.027025822377819687,0.12628888961597984
0,CD69,2.17064,,0.02995838790959257,0.13805708714097958
0,IDO2,2.1600606,,0.030767981454733005,0.14146198369992186
0,SELM,2.1568162,,0.03101999070010395,0.14196792082427437
0,SEMA4D,2.155849,,0.03109546589451677,0.1419884287420857
0,GPR15,2.140171,,0.03234094808805687,0.14667096638574542
0,GADD45B,2.1383977,,0.032484479857681894,0.14698859664109454
0,ZNF296,2.1329567,,0.03292827169640515,0.1486603688325289
0,HVCN1,2.1298535,,0.03318371437581778,0.14933486725301767
0,TREML1,2.1040797,,0.03537149818938787,0.15720665861950164
0,PARP15,2.1000695,,0.035722726411360116,0.15823777723078813
0,SLAMF6,2.084674,,0.03709892386735509,0.16343138267557308
0,TMEM176A,2.0798576,,0.0375386005037367,0.16481335190652807
0,ZFP36L2,2.03764,,0.04158593497158883,0.18002569251770054
0,G0S2,2.0278063,,0.04258003137041206,0.18313991987274003
0,CHAC1,2.0175693,,0.04363614392397556,0.18687856070225078
0,CXCR5,1.9864352,,0.0469850270715681,0.1999362854109281
0,CYFIP2,1.9853268,,0.04710812246297464,0.20003449028863968
0,ADAM8,1.9644096,,0.0494826165104524,0.2079101534052622
0,IL5RA,1.9573969,,0.050300831852190434,0.21090495535509618
0,AMPD1,1.9335778,,0.053165066768368956,0.22152111153487067
0,FAM92B,1.9023429,,0.05712634127065467,0.2355725413222873
0,MNDA,1.8772341,,0.06048601398511463,0.24587810563054727
0,EVI2A,1.868972,,0.06162671088045752,0.24899681163821222
0,TMEM176B,1.8643372,,0.06227437341897162,0.2506011002775518
0,PIGR,1.8619189,,0.0626145133738873,0.25109664011510985
0,CMAHP,1.8500296,,0.06430928722043501,0.2567237014787825
0,TNFRSF1B,1.843702,,0.06522658145468863,0.25935022447192296
0,CD48,1.8381603,,0.06603878279878207,0.2610228569121821
0,SIDT1,1.8358631,,0.06637791190433162,0.26184580632872434
0,TCN2,1.8333441,,0.06675141156195698,0.26280083292109047
0,TCL1A,1.8274196,,0.06763670772833118,0.2649399640451789
0,E2F5,1.8054544,,0.07100359991049321,0.27414517339958766
0,CD22,1.7909857,,0.07329559810737518,0.2819061465668276
0,ADAMDEC1,1.7615241,,0.07814973091979488,0.2982814157244079
0,HIST1H2BG,1.7502393,,0.08007703109853752,0.30374363205260113
0,ELF1,1.7223295,,0.08500985542620246,0.3189863243009473
0,HSPA1B,1.7116492,,0.08696134458386386,0.32477390449490806
0,P2RY10,1.711226,,0.08703940640463537,0.32477390449490806
0,LY86,1.6988932,,0.08933929998875502,0.3321728305612025
0,IL7R,1.6988126,,0.08935449142096348,0.3321728305612025
0,CXXC5,1.6894623,,0.0911308633936354,0.33627624868500144
0,CRIP1,1.6761624,,0.09370639836462165,0.3426193724483424
0,C5orf56,1.6624795,,0.0964166772587931,0.3512447258972426
0,ARHGAP9,1.651114,,0.0987152963379166,0.35701734661090995
0,DPEP1,1.6406151,,0.10087734333527079,0.36352195796493975
0,TOX,1.6375117,,0.10152358707825836,0.3651927592743106
0,PATL2,1.6191739,,0.10540985855222959,0.3778131130904286
0,SCML4,1.5964429,,0.11038992990310832,0.3928467256338374
0,MIR650,1.5945487,,0.11081318684165826,0.3936525287447896
0,SNORD99,1.5781655,,0.11452758331205075,0.4061261819576268
0,CYSLTR1,1.5648052,,0.1176286169327151,0.41491575637642014
0,CD70,1.5560392,,0.119698774272629,0.41999569920220703
0,ITGB2-AS1,1.5487645,,0.12143834426004091,0.42535321982501195
0,CLECL1,1.5438476,,0.1226252754086272,0.42804552065878576
0,PCED1B,1.5328246,,0.1253190661043823,0.4349498912723347
0,VAV1,1.5194643,,0.12864569382854898,0.4451408090953252
0,MFNG,1.5160384,,0.12950963306693705,0.4473562454816479
0,ITGB7,1.5080987,,0.13152925673897398,0.45171083103401927
0,PLD4,1.5005822,,0.1334636502762737,0.4560950311342425
0,ARHGAP30,1.4938315,,0.1352196728102032,0.4593825978484144
0,EFCAB4A,1.4935695,,0.13528817506635804,0.4593825978484144
0,RGS13,1.4875845,,0.13686050204710887,0.4623665609699624
0,TNFAIP8,1.4690855,,0.14180962203380543,0.47507411066601485
0,NUP210,1.4594328,,0.1444460112307225,0.4814867041024084
0,NMRK1,1.4398657,,0.14990539067707426,0.49719864237835576
0,SUSD3,1.407442,,0.15929637966983135,0.5257306259730408
0,APOBEC3H,1.3976685,,0.16221264792091783,0.5327180555695167
0,GPR132,1.3749577,,0.16914455488455826,0.5508767688838763
0,TRABD2A,1.3690937,,0.17097001108892795,0.5550974386004155
0,GRAP,1.366091,,0.17191038740330855,0.5569796224452164
0,QPCT,1.3645797,,0.17238519314679446,0.5569796224452164
0,TNFRSF11B,1.3490832,,0.17731025206098716,0.5710475106634048
0,ITGB2,1.3453552,,0.17851057325483544,0.5721492732526777
0,CKS2,1.3372744,,0.1811330876933399,0.5796258806186877
0,FCER2,1.3334053,,0.1823988343978602,0.5818144637890278
0,FLI1,1.3183521,,0.18738580076275269,0.5921866251059944
0,DDIT3,1.3179289,,0.18752743714872855,0.5921866251059944
0,EIF1AY,1.2968706,,0.19467571023766161,0.6088384985803736
0,FAIM3,1.2938076,,0.1957318935028265,0.6107079360462605
0,ARHGDIB,1.2894548,,0.19724000160267452,0.6142836008942314
0,GTF2B,1.2887294,,0.19749217768749538,0.6142836008942314
0,TMEM175,1.2792581,,0.2008061504606672,0.6236215852815751
0,CLIC5,1.2553786,,0.20934133588789883,0.6451196791614756
0,LINC00515,1.2396202,,0.2151159170324939,0.6598647761732941
0,CD52,1.2372625,,0.21598966635733452,0.661530371691683
0,CD244,1.2194486,,0.22267400866129738,0.6777970670425985
0,TBC1D4,1.2186022,,0.2229952350570149,0.6777970670425985
0,CMTM7,1.1976043,,0.23107111312357886,0.6981000396482745
0,BTN3A1,1.1942592,,0.2323766238135504,0.7009852905386136
0,RASSF5,1.1820877,,0.23717094143065387,0.7116128387371613
0,JMJD6,1.1817048,,0.2373228817188433,0.7116128387371613
0,MYO1F,1.1735635,,0.24056990122312227,0.7181191081287231
0,UNC13D,1.1664903,,0.24341625302364633,0.7255327958976046
0,BEX5,1.1400516,,0.25426482287339247,0.749313484138565
0,CR2,1.1376333,,0.2552736045604962,0.749313484138565
0,SLC25A19,1.1356786,,0.256091067412191,0.749313484138565
0,VMO1,1.1355779,,0.25613325390068775,0.749313484138565
0,LOC100130231,1.134651,,0.25652159610164693,0.749313484138565
0,ORMDL3,1.1345301,,0.2565722795588029,0.749313484138565
0,RASSF1,1.1343688,,0.25663986831745855,0.749313484138565
0,LINC00582,1.1316686,,0.2577738180089343,0.7500523276484131
0,CD72,1.1148622,,0.26490949107434136,0.7634279281681308
0,NPRL2,1.1109527,,0.26658867750519444,0.7671616618854517
0,TMEM66,1.1069225,,0.268327448976712,0.7699496383836787
0,TXNIP,1.0954764,,0.27330797289357855,0.7817262889041376
0,HCG26,1.0930179,,0.2743859274053523,0.7817262889041376
0,ZBTB32,1.0893906,,0.2759816491955648,0.7840359583832281
0,RNU12,1.0751234,,0.2823194892891687,0.7975126816078213
0,CCDC28A,1.0689368,,0.285098114566961,0.8030932804703127
0,ITIH1,1.0656723,,0.2865717898260818,0.8051049306766104
0,PPP1R16B,1.0545286,,0.2916409988300288,0.8159337839395557
0,PLCB2,1.0544076,,0.29169632775839116,0.8159337839395557
0,NEU1,1.0261552,,0.30481842594718245,0.8397201816726789
0,ADTRP,1.0193843,,0.30802055164443554,0.8462103067154823
0,TRAF3IP3,0.9980842,,0.31823854840360855,0.8683180038297641
0,ABCD2,0.9922604,,0.32107052629040245,0.8722508771321238
0,PLCL2,0.9812577,,0.3264656999289782,0.8835336939891156
0,SOCS1,0.97700566,,0.3285663383479249,0.8868187269849526
0,NAAA,0.97480917,,0.3296549278648643,0.8876040799249447
0,CD1B,0.9746278,,0.32974491569211695,0.8876040799249447
0,ADA,0.96154946,,0.3362759614570511,0.8931632442418356
0,USP30-AS1,0.9553227,,0.3394145522754767,0.8991113967562296
0,FAAH2,0.9553227,,0.3394145522754767,0.8991113967562296
0,SLFN11,0.94482374,,0.3447488790070261,0.9096276490950557
0,DENND1C,0.93787146,,0.3483104764562869,0.9154020406209905
0,FUT7,0.93067735,,0.35202048356231774,0.9215195904772716
0,SERPINI1,0.9205613,,0.3572795133150466,0.9309088498631584
0,TNFSF8,0.92019856,,0.3574689983474528,0.9309088498631584
0,HARBI1,0.91389114,,0.3607740427308471,0.937075435664538
0,TRIM69,0.9100825,,0.3627789935605553,0.9410609430883407
0,RASGRP2,0.9084704,,0.3636297472706147,0.9420459773850122
0,ZFAND2A,0.90008736,,0.36807375759492544,0.9510949808654404
0,APOBEC3G,0.8960168,,0.3702438102332074,0.9530085205487964
0,CEACAM21,0.8918051,,0.3724974088975427,0.9563476480039607
0,CXCR3,0.8752003,,0.381464955593638,0.9707882228894952
0,RFTN1,0.8750995,,0.3815197715955716,0.9707882228894952
0,FAM65B,0.865588,,0.38671614820465106,0.9827602241541322
0,TREML2,0.8591798,,0.39024132493989916,0.9904602155835004
0,TNF,0.85329556,,0.3934954210711653,0.9958074652455379
0,CD300A,0.8507162,,0.39492703983787036,0.9972905046410867
0,P2RY14,0.84402585,,0.3986549516467168,0.9992144937003701
0,FICD,0.84378403,,0.3987900910357296,0.9992144937003701
0,RWDD2A,0.84003586,,0.4008882765536652,0.9992144937003701
0,GBA3,0.83538085,,0.40350329827486286,0.9992144937003701
